cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,publish_year,abstract_words
7bobal5e,,WHO,'Primed' Mesenchymal Stem Cells: a Potential Novel Therapeutic for COVID19 Patients,,,,unk,"The COVID19 pandemic, designated as a public health crisis by the World Health Organization (WHO), is rapidly spreading around the world impacting the health and economy of almost all the countries. The data of hospitalized COVID19 patients, especially those with serious illness, indicate the involvement of immunopathological complications. As no effective treatment is currently available, we propose 'Primed' Mesenchymal Stem Cells (MSCs) as a therapeutic alternative to tackle devastating epidemic. The individual response to MSCs treatment is heterogeneous. During the treatment of infectious pathology, the effectiveness of the treatment may vary based on the disease scenario. Interestingly, when transplanted in vivo, MSCs are governed by the locally regulated microenvironment, suggesting that the restorative variability could be tailored by choosing a priming regimen to specifically correct a given pathology. Therefore, in our opinion, the priming of MSCs could be a novel approach to improve the responses of COVID19 patients.",2020,"Raza, Syed Shadab; Seth, Pankaj; Khan, Mohsin Ali",,NA,#617133,,,,,220064053,2020,148
fgjzo4xq,,WHO,'Quit During COVID-19'-staying smokefree in mental health in-patient settings,10.3332/ecancer.2020.ed102,,,unk,"Cigarette smoking is one of the main preventable causes of cancers globally At this time of global emergency, mental health professionals all over the world are joining hands with the public health and other healthcare communities to focus on acute measures to save lives from COVID-19 This has been particularly challenging in mental health hospital settings where numerous additional factors need to be considered, including difficulties of implementing social distancing, potential impacts of social isolation, increased stress levels and implications of all this on smoking In this article, we will briefly discuss the prevalence of smoking in mental health patients, especially in those in mental health hospital settings and also what is the possible impact of COVID-19 pandemic in these people Then we will go through the main reasons as to why encouraging smoking cessation in mental health patients is so important and measures we can take for supporting mental health patients quit smoking even during COVID-19 times The smoking cessation interventions have a direct bearing on preventing future cancers and achieving smoking cessation among cancer patients in this already disadvantaged group",2020,"Patwardhan, P. Driscoll R.",Ecancermedicalscience,NA,#32582377,,,,https://doi.org/10.3332/ecancer.2020.ed102,219922720,2020,182
w9lkqisa,,WHO,'Self-collected upper respiratory tract swabs for COVID-19 test': A feasible way to increase overall testing rate and conserve resources in South Africa,,,,unk,"Disparity in the testing rate of SARS-CoV-2 amongst different countries and regions is a very big challenge in understanding the COVID-19 pandemic. Although some developed countries have a very high testing rate and subsequently a high number of confirmed cases, less developed countries have a low testing rate and an illusive positivity rate. Collection of the upper respiratory specimen is not often comfortable. The discomfort could be accompanied with epistaxis and headache in some patients. The trained personnel taking the swab is forced to protect self with personal protective equipment (PPE) to avoid infections that may result from the patient due to provoked cough, sneezing and spitting. This study looks into an efficient means of increasing the testing rate for COVID 19 without compromising the quality. A literature review was conducted on the different modalities of collecting upper respiratory specimens and assessing the efficacy of samples collected using different methods in terms of the laboratory yield of different pathogens. Self-collection of upper respiratory tract specimen for diagnostic purposes is not new. Studies have demonstrated that trained staff-collected nasal swabs are not in any way superior to self-collected or parent-assisted swabs. The laboratory yield of different specimens is not determined by who took the sample but by the anatomical site from where the specimen was collected. Self collection of the upper respiratory swabs will not only increase the testing rate but also preserve the scarce PPE and reduces health care worker's COVID 19 infection rate in South Africa.",2020,"Adeniji, Adeloye A",Afr J Prim Health Care Fam Med,NA,#533184,,,,,219329142,2020,247
wxxfg0wy,,WHO,'The Double-Edged Sword' - An hypothesis for Covid-19-induced salivary biomarkers,,,,unk,"Utilising biomarkers for COVID-19 diagnosis, prediction of treatment response and overall prognostication have been investigated recently. However, these ventures have only considered the use of blood-based molecular markers. Saliva is another biofluid that warrants being applied in similar fashion with major advantages that centres on its non-invasive and repeatable collection as well as cost-efficiency. To this end, this article presents a hypothesis for the sources of biomarkers useful clinically for COVID-19 disease outcome estimation and identify the likely implications of their detection in saliva.",2020,"Adeoye, John; Thomson, Peter",Med Hypotheses,NA,#662554,,,,,220650629,2020,84
ywbj9bme,030a53517e43dbf6b4ac2737d8c200cf66d9b205,MedRxiv,'Trained immunity' from Mycobacterium spp. exposure or BCG vaccination and COVID-19 outcomes,10.1101/2020.07.11.20151308,,,medrxiv,"Protective variables for COVID-19 are unknown. 'Trained immunity' of the populace as a result of BCG policy implementation and coverage had been suggested to be one of the factors responsible for the differential impact of COVID-19 on different countries. Several trials are underway to evaluate the potential protective role of BCG vaccination in COVID-19. However, the lack of clarity on the use of appropriate controls concerning 'trained immunity' has been a cause of concern leading to more confusion as exemplified by a recently concluded trial in Israel that failed to find any correlation. Whereas, when we analyze the COVID-19 data of European countries without any mandatory BCG vaccination policy but with similar age distribution, comparable confounding variables, and the stage of the pandemic, the prevalence of Mycobacterium spp.(including BCG vaccine) exposure of the populations is consistently negatively correlated with COVID-19 infections per million population at all the time points evaluated [r(20): -0.5511 to -0.6338; p-value: 0.0118 to 0.0027]. The results indicate that the on-going and future studies evaluating the effect of BCG vaccination on COVID-19 outcomes should consider the inclusion of 'controls' for underlying 'trained immunity' prevalence or that resulting from the intervention (BCG vaccine) in such trials to arrive at more dependable conclusions.",2020-07-14,"Singh, S.; Maurya, R. P.; Singh, R. K.",,NA,,,document_parses/pdf_json/030a53517e43dbf6b4ac2737d8c200cf66d9b205.json,,http://medrxiv.org/cgi/content/short/2020.07.11.20151308v1?rss=1,220512911,2020,204
hwlr3qfz,,WHO,'What is Inconvenient for You is Life-saving for Me': How Health Inequities are playing out during the COVID-19 Pandemic,,,,unk,"The COVID-19 pandemic has had a significant impact globally. Most affected, however, are those individuals and groups routinely disadvantaged by the social injustice created by the misdistribution of power, money, and resources. Simple measures that prevent the spread of COVID-19, such as frequent hand washing and social distancing, are unavailable to millions of people in the wealthiest of nations and in the poorest of nations. Disadvantaged groups are impacted more directly and in disproportionately higher numbers due to existing poor health, and the disruption of services central to securing an income and an education will have lasting consequences for their futures. The unintended effect of exclusionary government policies is that privileged citizens and healthcare systems are also at greater risk. This paper seeks to highlight the impact of COVID-19 on those already suffering health inequities through consideration of some of the social determinants of health on groups in affluent and poorer nations. It also highlights some of the factors that may assist in tackling health inequities as we emerge from this pandemic.",2020,"Xafis, Vicki",Asian Bioeth Rev,NA,#276164,,,,,218675318,2020,172
nlow8b8e,,WHO,'Your country needs you': the ethics of allocating staff to high-risk clinical roles in the management of patients with COVID-19,,,,unk,"As the COVID-19 pandemic impacts on health service delivery, health providers are modifying care pathways and staffing models in ways that require health professionals to be reallocated to work in critical care settings. Many of the roles that staff are being allocated to in the intensive care unit and emergency department pose additional risks to themselves, and new policies for staff reallocation are causing distress and uncertainty to the professionals concerned. In this paper, we analyse a range of ethical issues associated with changes to staff allocation processes in the face of COVID-19. In line with a dominant view in the medical ethics literature, we claim, first, that no individual health professional has a specific, positive obligation to treat a patient when doing so places that professional at risk of harm, and so there is a clear ethical tension in any reallocation process in this context. Next, we argue that the changing asymmetries of health needs in hospitals means that careful consideration needs to be given to a stepwise process for deallocating staff from their usual duties. We conclude by considering how a justifiable process of reallocating professionals to high-risk clinical roles should be configured once those who are 'fit for reallocation' have been identified. We claim that this process needs to attend to three questions that we consider in detail: (1) how the choice to make reallocation decisions is made, (2) what justifiable models for reallocation might look like and (3) what is owed to those who are reallocated.",2020,"Dunn, Michael; Sheehan, Mark; Hordern, Joshua; Turnham, Helen Lynne; Wilkinson, Dominic",J Med Ethics,NA,#271465,,,,,218648230,2020,250
94so2gfe,,WHO,‘All the single ladies’ as the ideal academic in times of Covid-19?,10.1111/gwao.12478,,,unk,"Much of what has hitherto been written about women?s lived experiences of the coronavirus pandemic takes their status as mothers and the spouses of men for granted Skewed care demands on women researchers working from home may translate into individual career disadvantage and cumulative, large-scale gender inequalities in the future, which is undeniably a serious issue However, the narrative that single, childfree women must currently, by contrast, be unconcernedly enjoying a surge of productivity needs to be nuanced Therefore, with this paper, I autoethnographically discuss how living alone in the context of the Covid-19 pandemic provides its own set of circumstances and is hardly problem-free, which affects how one can deal with issues of academic productivity and work-life balance Also, I take issue with the premise that our productivity is the golden standard against which we and our worth should be measured while we are living through a global crisis",2020,"Utoft, Ea Høg","Gender, Work &amp; Organization",NA,#326905,,,,https://doi.org/10.1111/gwao.12478,219510112,2020,150
v4uhxa1g,4c9e6610f8d12ff49d1b5d2f927ffe5d764830e5,PMC,‘Corona? 5G? or both?’: the dynamics of COVID-19/5G conspiracy theories on Facebook,10.1177/1329878x20946113,PMC7404088,,cc-by,"Focussing in detail on one key component of the infodemic surrounding COVID-19, this article traces the dissemination dynamics of rumours that the pandemic outbreak was somehow related to the rollout of 5G mobile telephony technology in Wuhan and around the world. Drawing on a mixture of quantitative and qualitative methods including time-series analysis, network analysis and in-depth close reading, our analysis shows the dissemination of the rumour on Facebook from its obscure origins in pre-existing conspiracist groups through greater uptake in more diverse communities to substantial amplification by celebrities, sports stars and media outlets. The in-depth tracing of COVID-related mis- and disinformation across social networks offers important new insights into the dynamics of online information dissemination and points to opportunities to slow and stop the spread of false information, or at least to combat it more directly with accurate counterinformation.",2020-08-04,"Bruns, Axel; Harrington, Stephen; Hurcombe, Edward",,NA,,,document_parses/pdf_json/4c9e6610f8d12ff49d1b5d2f927ffe5d764830e5.json,document_parses/pmc_json/PMC7404088.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7404088/,NA,2020,140
mn2wxa5g,,WHO,"‘Finally, a virus got me.’ Scientist who fought Ebola and HIV reflects on facing death from COVID-19",10.1126/science.abc7042,,,unk,"Virologist Peter Piot, director of the London School of Hygiene & Tropical Medicine, fell ill with COVID-19 in mid-March He spent a week in a hospital and has been recovering at his home in London since Climbing a flight of stairs still leaves him breathless Piot, who grew up in Belgium, was one of the discoverers of the Ebola virus in 1976 and spent his career fighting infectious diseases He headed the Joint United Nations Programme on HIV/AIDS between 1995 and 2008 and is currently a coronavirus adviser to European Commission President Ursula von der Leyen But his personal confrontation with the new coronavirus was a life-changing experience, Piot says",2020,"Draulans, Dirk",Science,NA,#220936,,,,https://doi.org/10.1126/science.abc7042,218932073,2020,110
ctvm5rgp,,WHO,"‘Influence of conflicts of interest on public positions in the COVID-19 era, the case of Gilead Sciences’ by Roussel and Raoult (2020)",10.1016/j.nmni.2020.100730,,,unk,"Roussel and Raoult (2020) assessed the correlation between public positions taken by 98 doctors towards hydroxychloroquine and payments received from the Gilead Sciences company The analysis presented has two major problems, the first of which can probably be fixed retrospectively, but the second of which seems irredeemable",2020,"Piepho, H. P.",New Microbes and New Infections,NA,#683224,,,,https://doi.org/10.1016/j.nmni.2020.100730,220602819,2020,47
fgjzo4xq,c50ca36baaf68c608752a064bff0937b0269955f,Medline; PMC; WHO,‘Quit During COVID-19’—staying smokefree in mental health in-patient settings,10.3332/ecancer.2020.ed102,PMC7302882,32582377,cc-by,"Cigarette smoking is one of the main preventable causes of cancers globally. At this time of global emergency, mental health professionals all over the world are joining hands with the public health and other healthcare communities to focus on acute measures to save lives from COVID-19. This has been particularly challenging in mental health hospital settings where numerous additional factors need to be considered, including difficulties of implementing social distancing, potential impacts of social isolation, increased stress levels and implications of all this on smoking. In this article, we will briefly discuss the prevalence of smoking in mental health patients, especially in those in mental health hospital settings and also what is the possible impact of COVID-19 pandemic in these people. Then we will go through the main reasons as to why encouraging smoking cessation in mental health patients is so important and measures we can take for supporting mental health patients quit smoking even during COVID-19 times. The smoking cessation interventions have a direct bearing on preventing future cancers and achieving smoking cessation among cancer patients in this already disadvantaged group.",2020-06-04,"Patwardhan, Pooja; Driscoll, Richard",Ecancermedicalscience,NA,#615268,,document_parses/pdf_json/c50ca36baaf68c608752a064bff0937b0269955f.json,document_parses/pmc_json/PMC7302882.xml.json,https://doi.org/10.3332/ecancer.2020.ed102; https://www.ncbi.nlm.nih.gov/pubmed/32582377/,219922720,2020,182
x011i6x6,562138dc8e515afe79f830ff3a7a1906439bcded,Medline; PMC; WHO,‘Scientific Strabismus’ or two related pandemics: coronavirus disease and vitamin D deficiency,10.1017/s0007114520001749,PMC7300194,32393401,cc-by,[Figure: see text],2020-05-12,"Kara, Murat; Ekiz, Timur; Ricci, Vincenzo; Kara, Özgür; Chang, Ke-Vin; Özçakar, Levent",The British journal of nutrition,NA,#220976,,document_parses/pdf_json/562138dc8e515afe79f830ff3a7a1906439bcded.json,document_parses/pmc_json/PMC7300194.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32393401/; https://doi.org/10.1017/s0007114520001749,218599417,2020,3
y4i0g40c,16c77662137371739e6657509bee5d7eab2b4245,Elsevier; Medline; PMC,‘The Double-Edged Sword’ – An Hypothesis For Covid-19-Induced Salivary Biomarkers,10.1016/j.mehy.2020.110124,PMC7372268,32721813,no-cc,"Utilising biomarkers for COVID-19 diagnosis, prediction of treatment response and overall prognostication have been investigated recently. However, these ventures have only considered the use of blood-based markers. Saliva is another biofluid that warrants being applied in similar fashion with major advantages that centres on its non-invasive and repeatable collection as well as cost-efficiency. To this end, this article presents a hypothesis for the sources of biomarkers useful clinically for COVID-19 disease outcome estimation and identify the likely implications of their detection in saliva.",2020-07-21,"Adeoye, John; Thomson, Peter",Med Hypotheses,NA,,,document_parses/pdf_json/16c77662137371739e6657509bee5d7eab2b4245.json,document_parses/pmc_json/PMC7372268.xml.json,https://www.sciencedirect.com/science/article/pii/S0306987720319939?v=s5; https://api.elsevier.com/content/article/pii/S0306987720319939; https://www.ncbi.nlm.nih.gov/pubmed/32721813/; https://doi.org/10.1016/j.mehy.2020.110124,220650629,2020,83
pvbbk8cg,,WHO,‘This beast is moving very fast.’ Will the new coronavirus be contained—or go pandemic? ;Science ;AAAS,,,,unk,"Modelers are trying to forecast how the virus will move, but they need better data",2020,,,NA,#347,,,,,219802380,2020,15
3ly4f8dy,7363d60dc64b423f4a7c890bd3271b017dd4d1e8,Medline; PMC,‘What is Inconvenient for You is Life-saving for Me’: How Health Inequities are playing out during the COVID-19 Pandemic,10.1007/s41649-020-00119-1,PMC7229879,32427219,cc-by,"The COVID-19 pandemic has had a significant impact globally. Most affected, however, are those individuals and groups routinely disadvantaged by the social injustice created by the misdistribution of power, money, and resources. Simple measures that prevent the spread of COVID-19, such as frequent hand washing and social distancing, are unavailable to millions of people in the wealthiest of nations and in the poorest of nations. Disadvantaged groups are impacted more directly and in disproportionately higher numbers due to existing poor health, and the disruption of services central to securing an income and an education will have lasting consequences for their futures. The unintended effect of exclusionary government policies is that privileged citizens and healthcare systems are also at greater risk. This paper seeks to highlight the impact of COVID-19 on those already suffering health inequities through consideration of some of the social determinants of health on groups in affluent and poorer nations. It also highlights some of the factors that may assist in tackling health inequities as we emerge from this pandemic.",2020-05-16,"Xafis, Vicki",Asian Bioeth Rev,NA,,,document_parses/pdf_json/7363d60dc64b423f4a7c890bd3271b017dd4d1e8.json,document_parses/pmc_json/PMC7229879.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32427219/; https://doi.org/10.1007/s41649-020-00119-1,218675318,2020,172
dntrv3op,,WHO,"""Cell Phone Acne"" Epidemic during COVID-19 Pandemic",,,,unk,"As the world plunges into the longest and the biggest lockdown in world's history, most of us are turning towards an increased use of mobile phones as the most convenient way to stay connected. However, this convenience is also taking a toll on the overall skin health, particularly in the patients of acne.",2020,"Singh, M; Pawar, M; Maheshwari, A; Bothra, A; Khunger, N",Clin. exp. dermatol,NA,#620882,,,,,220270116,2020,53
y6iuwq9r,,WHO,"""Coronavirus disease 2019"" (COVID-19): update für Anästhesisten und Intensivmediziner März 2020./ [Coronavirus disease 2019 (COVID-19): update for anesthesiologists and intensivists March 2020]",,,,unk,"The current outbreak of coronavirus disease (COVID-19) has reached Germany. The majority of people infected present with mild disease, but there are severe cases that need intensive care. Unlike other acute infectious diseases progressing to sepsis, the severe courses of COVID19 seemingly show prolonged progression from onset of first symptoms to life-threatening deterioration of (primarily) lung function. Diagnosis relies on PCR using specimens from the respiratory tract. Severe ARDS reflects the hallmark of a critical course of the disease. Preventing nosocomial infections (primarily by correct use of personal protective equipment) and maintenance of hospitals' operational capability are of utmost importance. Departments of Anaesthesia, Intensive Care and emergency medicine will envisage major challenges.",2020,"Thomas-Rüddel, D; Winning, J; Dickmann, P; Ouart, D; Kortgen, A; Janssens, U; Bauer, M",Anaesthesist,NA,#9731,,,,,212937005,2020,112
